GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
382963,FRAME_START,0
382981,GUARDIAN_START,0
382983,GUARDIAN_END,1482
382983,FRAME_START,0
383001,GUARDIAN_START,0
383003,GUARDIAN_END,1481
383003,FRAME_START,0
383021,GUARDIAN_START,0
383023,GUARDIAN_END,1482
383023,FRAME_START,0
383041,GUARDIAN_START,0
383043,GUARDIAN_END,1481
383043,FRAME_START,0
383061,GUARDIAN_START,0
383063,GUARDIAN_END,1481
383063,FRAME_START,0
383081,GUARDIAN_START,0
383083,GUARDIAN_END,1481
383083,FRAME_START,0
383101,GUARDIAN_START,0
383103,GUARDIAN_END,1480
383103,FRAME_START,0
383121,GUARDIAN_START,0
383123,GUARDIAN_END,1481
383123,FRAME_START,0
383141,GUARDIAN_START,0
383143,GUARDIAN_END,1481
383143,FRAME_START,0
383161,GUARDIAN_START,0
383163,GUARDIAN_END,1482
383163,FRAME_START,0
383181,GUARDIAN_START,0
383183,GUARDIAN_END,1481
383183,FRAME_START,0
383201,GUARDIAN_START,0
383203,GUARDIAN_END,1481
383203,FRAME_START,0
383221,GUARDIAN_START,0
383223,GUARDIAN_END,1481
383223,FRAME_START,0
383241,GUARDIAN_START,0
383243,GUARDIAN_END,1481
383243,FRAME_START,0
383261,GUARDIAN_START,0
383263,GUARDIAN_END,1482
383263,FRAME_START,0
383281,GUARDIAN_START,0
383283,GUARDIAN_END,1482
383283,FRAME_START,0
383301,GUARDIAN_START,0
383303,GUARDIAN_END,1481
383303,FRAME_START,0
383321,GUARDIAN_START,0
383323,GUARDIAN_END,1482
383323,FRAME_START,0
383341,GUARDIAN_START,0
383343,GUARDIAN_END,1481
383343,FRAME_START,0
383361,GUARDIAN_START,0
383363,GUARDIAN_END,1481
383363,FRAME_START,0
383381,GUARDIAN_START,0
383383,GUARDIAN_END,1481
383383,FRAME_START,0
383401,GUARDIAN_START,0
383403,GUARDIAN_END,1482
383403,FRAME_START,0
383421,GUARDIAN_START,0
383423,GUARDIAN_END,1481
383423,FRAME_START,0
383441,GUARDIAN_START,0
383443,GUARDIAN_END,1481
383443,FRAME_START,0
383461,GUARDIAN_START,0
383463,GUARDIAN_END,1482
383463,FRAME_START,0
383481,GUARDIAN_START,0
383483,GUARDIAN_END,1482
RAW: min=   -28 max=    39 samples[0..3]=-21 -13 -8 1
RES0: min=    -2 max=     3
GATE: ABORT conf= 15 E=    0 C=  2235 ZCR= 12 T=1482us noise=    0 wakes= 0/50
SCHED: wcet=1524us avg=1481us duty=0.74% irq_lat_avg=0ms irq_lat_max=20ms
DEADLINE: misses=32/15450  miss_rate=0.20%
383821,FRAME_START,0
383829,GUARDIAN_START,0
383830,GUARDIAN_END,1482
383830,FRAME_START,0
383831,GUARDIAN_START,0
383833,GUARDIAN_END,1481
383833,FRAME_START,0
383834,GUARDIAN_START,0
383835,GUARDIAN_END,1482
383835,FRAME_START,0
383836,GUARDIAN_START,0
383838,GUARDIAN_END,1481
383838,FRAME_START,0
383841,GUARDIAN_START,0
383843,GUARDIAN_END,1482
383843,FRAME_START,0
383861,GUARDIAN_START,0
383863,GUARDIAN_END,1482
383863,FRAME_START,0
383881,GUARDIAN_START,0
383883,GUARDIAN_END,1482
383883,FRAME_START,0
383901,GUARDIAN_START,0
383903,GUARDIAN_END,1482
383903,FRAME_START,0
383921,GUARDIAN_START,0
383923,GUARDIAN_END,1482
383923,FRAME_START,0
