GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1489us noise=    0 wakes=50/50
SCHED: wcet=1489us avg=1489us duty=0.74% irq_latSTART,0
51771,GUARDIAN_START,0
51772,GUARDIAN_END,1495
51772,FRAME_START,0
51793,GUARDIAN_START,0
51795,GUARDIAN_END,1495
51795,FRAME_START,0
51816,GUARDIAN_START,0
51818,GUARDIAN_END,1495
51818,FRAME_START,0
51839,GUARDIAN_START,0
51840,GUARDIAN_END,1495
51840,FRAME_START,0
51849,TINYML_END,0
51849,TINYML_START,0
51862,GUARDIAN_START,0
51863,GUARDIAN_END,1495
51863,FRAME_START,0
51885,GUARDIAN_START,0
51886,GUARDIAN_END,1495
51886,FRAME_START,0
51907,GUARDIAN_START,0
51909,GUARDIAN_END,1495
51909,FRAME_START,0
51930,GUARDIAN_START,0
51932,GUARDIAN_END,1495
51932,FRAME_START,0
51953,GUARDIAN_START,0
51954,GUARDIAN_END,1495
51954,FRAME_START,0
51962,TINYML_END,0
51962,TINYML_START,0
51976,GUARDIAN_START,0
51977,GUARDIAN_END,1495
51977,FRAME_START,0
51999,GUARDIAN_START,0
52000,GUARDIAN_END,1495
52000,FRAME_START,0
52021,GUARDIAN_START,0
52023,GUARDIAN_END,1495
52023,FRAME_START,0
52044,GUARDIAN_START,0
52046,GUARDIAN_END,1495
52046,FRAME_START,0
52067,GUARDIAN_START,0
52068,GUARDIAN_END,1495
52068,FRAME_START,0
52075,TINYML_END,0
52075,TINYML_START,0
52090,GUARDIAN_START,0
52091,GUARDIAN_END,1495
52091,FRAME_START,0
52113,GUARDIAN_START,0
52114,GUARDIAN_END,1495
52114,FRAME_START,0
52135,GUARDIAN_START,0
52137,GUARDIAN_END,1495
52137,FRAME_START,0
52158,GUARDIAN_START,0
52160,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3374 C= 32731 ZCR= 32 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
52513,FRAME_START,0
52534,GUARDIAN_START,0
52536,GUARDIAN_END,1495
52536,FRAME_START,0
52542,TINYML_END,0
52542,TINYML_START,0
52557,GUARDIAN_START,0
52558,GUARDIAN_END,1495
52558,FRAME_START,0
52580,GUARDIAN_START,0
52581,GUARDIAN_END,1495
52581,FRAME_START,0
52602,GUARDIAN_START,0
52604,GUARDIAN_END,1495
52604,FRAME_START,0
52625,GUARDIAN_START,0
52627,GUARDIAN_END,1495
52627,FRAME_START,0
52648,GUARDIAN_START,0
52649,GUARDIAN_END,1495
52649,FRAME_START,0
52655,TINYML_END,0
52655,TINYML_START,0
52671,GUARDIAN_START,0
52672,GUARDIAN_END,1495
52672,FRAME_START,0
52694,GUARDIAN_START,0
52695,GUARDIAN_END,1495
52695,FRAME_START,0
52716,GUARDIAN_START,0
52718,GUARDIAN_END,1495
52718,FRAME_START,0
52739,GUARDIAN_START,0
52741,GUARDIAN_END,1495
52741,FRAME_START,0
52762,GUARDIAN_START,0
52763,GUARDIAN_END,1495
52763,FRAME_START,0
52769,TINYML_END,0
52769,TINYML_START,0
52785,GUARDIAN_START,0
52786,GUARDIAN_END,1495
52786,FRAME_START,0
52808,GUARDIAN_START,0
52809,GUARDIAN_END,1495
52809,FRAME_START,0
52830,GUARDIAN_START,0
52832,GUARDIAN_END,1495
52832,FRAME_START,0
52853,GUARDIAN_START,0
52855,GUARDIAN_END,1495
52855,FRAME_START,0
52876,GUARDIAN_START,0
52877,GUARDIAN_END,1495
52877,FRAME_START,0
52882,TINYML_END,0
52882,TINYML_START,0
52899,GUARDIAN_START,0
52900,GUARDIAN_END,1495
52900,FRAME_START,0
52922,GUARDIAN_START,0
52923,GUARDIAN_END,1495
52923,FRAME_START,0
52944,GUARDIAN_START,0
52946,GUARDIAN_END,1495
52946,FRAME_START,0
52967,GUARDIAN_START,0
52969,GUARDIAN_END,1495
52969,FRAME_START,0
52990,GUARDIAN_START,0
52991,GUARDIAN_END,1495
52991,FRAME_START,0
52995,TINYML_END,0
52995,TINYML_START,0
53013,GUARDIAN_START,0
53014,GUARDIAN_END,1495
53014,FRAME_START,0
53036,GUARDIAN_START,0
53037,GUARDIAN_END,1495
53037,FRAME_START,0
53058,GUARDIAN_START,0
53060,GUARDIAN_END,1495
53060,FRAME_START,0
53081,GUARDIAN_START,0
53083,GUARDIAN_END,1495
53083,FRAME_START,0
53104,GUARDIAN_START,0
53105,GUARDIAN_END,1495
53105,FRAME_START,0
53109,TINYML_END,0
53109,TINYML_START,0
53127,GUARDIAN_START,0
53128,GUARDIAN_END,1495
53128,FRAME_START,0
53149,GUARDIAN_START,0
53151,GUARDIAN_END,1495
53151,FRAME_START,0
53172,GUARDIAN_START,0
53174,GUARDIAN_END,1495
53174,FRAME_START,0
53195,GUARDIAN_START,0
